Classes,DC,FWI,day,month,year,Temperature, RH, Ws,Rain ,FFMC,DMC,ISI,BUI
30,not fire   ,8.6,0.4,1,7,2012,29,68,19,1.0,59.9,2.5,1.1,2.9
31,not fire   ,8.3,0.3,2,7,2012,27,75,19,1.2,55.7,2.4,0.8,2.8
32,not fire   ,9.2,0.5,3,7,2012,32,76,20,0.7,63.1,2.6,1.3,3.0
33,not fire   ,18.5,1.7,4,7,2012,33,78,17,0.0,80.1,4.6,2.7,5.7
34,fire   ,27.9,4.9,5,7,2012,33,66,14,0.0,85.9,7.6,4.8,9.1
35,fire   ,37,6.8,6,7,2012,32,63,14,0.0,87.0,10.9,5.6,12.5
36,not fire   ,40.4,3.2,7,7,2012,35,64,18,0.2,80.0,9.7,2.8,12.1
37,fire   ,49.8,8,8,7,2012,33,68,19,0.0,85.6,12.5,6.0,15.4
38,not fire   ,9.2,0.6,9,7,2012,32,68,14,1.4,66.6,7.7,1.1,7.4
39,not fire   ,9.3,0.5,10,7,2012,33,69,13,0.7,66.6,6.0,1.1,5.8
40,not fire   ,18.7,2.2,11,7,2012,33,76,14,0.0,81.1,8.1,2.6,8.1
41,not fire   ,27.7,0.9,12,7,2012,31,75,13,0.1,75.1,7.9,1.5,9.2
42,not fire   ,37.2,3.4,13,7,2012,34,81,15,0.0,81.8,9.7,3.0,11.7
43,not fire   ,22.9,0.8,14,7,2012,34,61,13,0.6,73.9,7.8,1.4,8.4
44,not fire   ,,0.5,15,7,2012,30,80,19,0.4,60.7,5.2,1.1,5.9
45,not fire   ,25.5,0.4,16,7,2012,28,76,21,0.0,72.6,7.0,0.7,8.3
46,fire   ,34.1,3.6,17,7,2012,29,70,14,0.0,82.8,9.4,3.2,11.1
47,fire   ,43.1,6,18,7,2012,31,68,14,0.0,85.4,12.1,4.6,14.2
48,fire   ,52.8,10.9,19,7,2012,35,59,17,0.0,88.1,12.0,7.7,18.2
49,fire   ,62.1,4,20,7,2012,33,65,15,0.1,81.4,12.3,2.8,16.5
50,fire   ,71.5,8.8,21,7,2012,33,70,17,0.0,85.4,18.5,5.2,22.4
51,not fire   ,79.9,2.8,22,7,2012,28,79,18,0.1,73.4,16.4,1.8,21.7
52,not fire   ,71.3,2.1,23,7,2012,27,66,22,0.4,68.2,10.5,1.8,15.4
53,not fire   ,79.7,1.3,24,7,2012,28,78,16,0.1,70.0,9.6,1.4,14.7
54,fire   ,88.7,7.3,25,7,2012,31,65,18,0.0,84.3,12.5,4.8,18.5
55,fire   ,98.6,15.3,26,7,2012,36,53,19,0.0,89.2,17.1,10.0,23.9
56,fire   ,108.5,15.3,27,7,2012,36,48,13,0.0,90.3,22.2,8.7,29.4
57,fire   ,117.8,11.3,28,7,2012,33,76,15,0.0,86.5,,5.6,32.1
58,fire   ,127,11.9,29,7,2012,32,73,15,0.0,86.6,26.7,5.6,35.0
59,fire   ,136,10.7,30,7,2012,31,79,15,0.0,85.4,28.5,4.7,37.4
60,fire   ,145.7,15.7,31,7,2012,35,64,17,0.0,87.2,31.9,6.8,41.2
61,not fire   ,10.2,0.9,1,8,2012,36,45,14,0.0,78.8,4.8,2.0,4.7
62,not fire   ,10,0.8,2,8,2012,35,55,12,0.4,78.0,5.8,1.7,5.5
63,not fire   ,10,0.8,3,8,2012,35,63,14,0.3,76.6,5.7,1.7,5.5
64,fire   ,19.8,3.9,4,8,2012,34,69,13,0.0,85.0,8.2,4.0,8.2
65,fire   ,29.7,6.1,5,8,2012,34,65,13,0.0,86.8,11.1,5.2,11.5
66,fire   ,39.1,6.8,6,8,2012,32,75,14,0.0,86.4,13.0,5.2,14.2
67,fire   ,48.6,8,7,8,2012,32,69,16,0.0,86.5,15.5,5.5,17.2
68,not fire   ,47,2.6,8,8,2012,32,60,18,0.3,77.1,11.3,2.2,14.1
69,fire   ,57,9.9,9,8,2012,35,59,17,0.0,87.4,14.8,6.9,17.9
70,fire   ,67,11.6,10,8,2012,35,55,14,0.0,88.9,18.6,7.4,21.9
71,fire   ,77,12.1,11,8,2012,35,63,13,0.0,88.9,21.7,7.1,25.5
72,not fire   ,75.1,4.2,12,8,2012,35,51,13,0.3,81.3,15.6,2.5,20.7
73,fire   ,85.1,10.2,13,8,2012,35,63,15,0.0,87.0,19.0,5.9,24.4
74,fire   ,94.7,10.6,14,8,2012,33,66,14,0.0,87.0,21.7,5.7,27.2
75,fire   ,92.5,6.3,15,8,2012,36,55,13,0.3,82.4,15.6,3.7,22.0
76,fire   ,90.4,4.2,16,8,2012,36,61,18,0.3,80.2,11.7,2.8,17.6
77,fire   ,100.7,14.6,17,8,2012,37,52,18,0.0,89.3,16.0,9.7,22.9
78,fire   ,110.9,16.1,18,8,2012,36,54,18,0.0,89.4,20.0,9.7,27.5
79,fire   ,120.9,17.2,19,8,2012,35,62,19,0.0,89.4,23.2,9.7,31.3
80,fire   ,130.6,16.8,20,8,2012,35,68,19,0.0,88.3,25.9,8.8,34.7
81,fire   ,141.1,18.4,21,8,2012,36,58,19,0.0,88.6,29.6,9.2,38.8
82,fire   ,151.3,20.4,22,8,2012,36,55,18,0.0,89.1,33.5,9.9,43.1
83,fire,161.5,22.3,23,8,2012,36,53,16,0.0,89.5,37.6,10.4,47.5
84,fire   ,171.3,20.9,24,8,2012,34,64,14,0.0,88.9,40.5,9.0,50.9
85,fire,181.3,20.3,25,8,2012,35,60,15,0.0,88.9,43.9,8.2,54.7
86,fire ,190.6,13.7,26,8,2012,31,78,18,0.0,,45.6,4.7,57.1
87,fire,200.2,13.2,27,8,2012,33,82,21,0.0,84.9,47.0,4.4,59.3
88,fire ,210.4,19.9,28,8,2012,34,64,16,0.0,89.4,50.2,7.3,62.9
89,fire   ,220.4,30.2,29,8,2012,35,48,18,0.0,90.1,54.2,12.5,67.4
90,not fire   ,180.4,4.2,30,8,2012,35,70,17,0.8,72.7,25.2,1.7,37.4
91,not fire,8.7,0.3,31,8,2012,28,80,21,16.8,52.5,8.7,0.6,8.3
92,not fire ,7.5,0.1,1,9,2012,25,76,17,7.2,46.0,1.3,0.2,1.8
93,not fire,7,0,2,9,2012,22,86,15,10.1,30.5,0.7,0.0,1.1
94,not fire   ,7.5,0,3,9,2012,25,78,15,3.8,42.6,1.2,0.1,1.7
95,not fire   ,15.7,0.5,4,9,2012,29,73,17,0.1,68.4,1.9,1.4,2.9
96,fire   ,24,1.7,5,9,2012,29,75,16,0.0,80.8,3.4,2.8,5.1
97,not fire   ,32.2,0.9,6,9,2012,29,74,19,0.1,75.8,3.6,2.1,5.6
98,not fire   ,30.1,0.6,7,9,2012,31,71,17,0.3,69.6,3.2,1.5,5.1
99,not fire   ,8.4,0.4,8,9,2012,30,73,17,0.9,62.0,2.6,1.1,3.0
100,not fire   ,8.4,0.2,9,9,2012,30,77,15,1.0,56.1,2.1,0.7,2.6
101,not fire   ,8.9,0.3,10,9,2012,33,73,12,1.8,59.9,2.2,0.7,2.7
102,not fire   ,8.4,0.3,11,9,2012,30,77,21,1.8,58.5,1.9,1.1,2.4
103,not fire   ,16.6,0.5,12,9,2012,29,88,13,0.0,71.0,2.6,1.2,3.7
104,not fire   ,7.5,0,13,9,2012,25,86,21,4.6,40.9,1.3,0.1,1.8
105,not fire   ,7,0.1,14,9,2012,22,76,26,8.3,47.4,1.1,0.4,1.6
106,not fire   ,7.3,0,15,9,2012,24,82,15,0.4,44.9,0.9,0.2,1.4
107,not fire   ,15.7,0.8,16,9,2012,30,65,14,0.0,78.1,3.2,1.9,4.2
108,fire   ,24.3,5.9,17,9,2012,31,52,14,0.0,87.7,6.4,6.2,7.7
109,fire   ,33.1,7.7,18,9,2012,32,49,11,0.0,89.4,9.8,6.8,11.3
110,fire   ,41.3,9.7,19,9,2012,29,57,14,0.0,89.3,12.5,7.8,14.2
111,fire,49.3,6.3,20,9,2012,28,84,18,0.0,83.8,13.5,4.5,16.0
112,fire   ,57.9,8.3,21,9,2012,31,55,11,0.0,87.8,16.5,5.4,19.2
113,not fire   ,41.4,2.8,22,9,2012,31,50,19,0.6,77.8,10.6,2.4,12.9
114,not fire   ,30.4,0.7,23,9,2012,32,54,11,0.5,73.7,7.9,1.2,9.6
115,not fire   ,15.2,0.7,24,9,2012,29,65,19,0.6,68.3,5.5,1.5,5.8
116,not fire   ,7.7,0.1,25,9,2012,26,81,21,5.8,48.6,3.0,0.4,3.0
117,not fire   ,16.3,1.7,26,9,2012,31,54,11,0.0,82.0,6.0,2.5,6.2
118,fire   ,24.9,4.1,27,9,2012,31,66,11,0.0,85.7,8.3,4.0,9.0
119,not fire   ,8.8,0.9,28,9,2012,32,47,14,0.7,77.5,7.1,1.8,6.8
120,not fire   ,7.7,0.1,29,9,2012,26,80,16,1.8,47.4,2.9,0.3,3.0
121,not fire   ,7.5,0.1,30,9,2012,25,78,14,1.4,45.0,1.9,0.2,2.4
122,not fire   ,8.2,0.2,1,6,2012,32,71,12,0.7,57.1,2.5,0.6,2.8
123,not fire   ,7.8,0.2,2,6,2012,30,73,13,4.0,55.7,2.7,0.6,2.9
124,not fire   ,7.6,0.1,3,6,2012,29,80,14,2.0,48.7,2.2,0.3,2.6
125,not fire   ,15.4,1,4,6,2012,30,64,14,0.0,79.4,5.2,2.2,5.6
126,not fire   ,17.6,0.9,5,6,2012,32,60,14,0.2,77.1,6.0,1.8,6.5
127,fire   ,26.3,3.1,6,6,2012,35,54,11,0.1,83.7,8.4,3.1,9.3
128,fire   ,28.9,6,7,6,2012,35,44,17,0.2,85.6,9.9,5.4,10.7
129,not fire   ,7.4,0.8,8,6,2012,28,51,17,1.3,71.4,7.7,1.5,7.3
130,not fire   ,14.7,1.9,9,6,2012,27,59,18,0.1,78.1,8.5,2.4,8.3
131,fire   ,22.5,10,10,6,2012,30,41,15,0.0,89.4,13.3,8.4,13.1
132,fire   ,30.5,16.7,11,6,2012,31,42,21,0.0,90.6,18.2,13.4,18.0
133,fire   ,37.8,12.9,12,6,2012,27,58,17,0.0,88.9,21.3,8.7,21.2
134,not fire   ,7.8,0.9,13,6,2012,30,52,15,2.0,72.3,11.4,1.4,10.9
135,not fire   ,7.3,0.3,14,6,2012,27,79,16,0.7,53.4,6.4,0.5,6.1
136,not fire   ,14.7,0.6,15,6,2012,28,90,15,0.0,66.8,7.2,1.2,7.1
137,not fire   ,8,0.1,16,6,2012,29,87,15,0.4,47.4,4.2,0.2,4.1
138,not fire   ,8,0.4,17,6,2012,31,69,17,4.7,62.2,3.9,1.1,3.8
139,not fire   ,8.3,0.4,18,6,2012,33,62,10,8.7,65.5,4.6,0.9,4.4
140,not fire   ,8.2,0.4,19,6,2012,32,67,14,4.5,64.6,4.4,1.0,4.2
141,not fire   ,8,0.3,20,6,2012,31,72,14,0.2,60.2,3.8,0.8,3.7
142,fire   ,18.4,4.9,21,6,2012,32,55,14,0.0,86.2,8.3,5.0,8.2
143,not fire   ,8.3,1.2,22,6,2012,33,46,14,1.1,78.3,8.1,1.9,7.7
144,not fire   ,8.3,0.8,23,6,2012,33,59,16,0.8,74.2,7.0,1.6,6.7
145,fire   ,17,5.3,24,6,2012,35,68,16,0.0,85.3,10.0,4.9,9.9
146,fire   ,25.6,6.7,25,6,2012,34,70,16,0.0,86.0,12.8,5.4,12.7
147,fire   ,34.5,9.5,26,6,2012,36,62,16,0.0,87.8,16.5,7.0,16.4
148,fire   ,43.3,12,27,6,2012,36,55,15,0.0,89.1,20.9,8.0,20.8
149,fire   ,52.4,18.4,28,6,2012,37,37,13,0.0,92.5,27.2,11.7,27.1
150,fire   ,36.7,7.2,29,6,2012,37,36,13,0.6,86.2,17.9,4.8,17.8
151,not fire     ,8.5,2.2,30,6,2012,34,42,15,1.7,79.7,12.0,2.2,11.5
152,not fire   ,8.5,0.5,1,7,2012,28,58,18,2.2,63.7,3.2,1.2,3.3
153,fire   ,17.8,6.4,2,7,2012,33,48,16,0.0,87.6,7.9,6.8,7.8
154,fire   ,27.3,5.2,3,7,2012,34,56,17,0.1,84.7,9.7,4.7,10.3
155,fire   ,36.8,9.9,4,7,2012,34,58,18,0.0,88.0,13.6,8.0,14.1
156,fire   ,46.4,15,5,7,2012,34,45,18,0.0,90.5,18.7,11.3,18.7
157,fire   ,45.1,6.3,6,7,2012,35,42,15,0.3,84.7,15.5,4.3,16.7
158,fire   ,35.4,5.2,7,7,2012,38,43,13,0.5,85.0,13.0,4.1,13.7
159,fire   ,9.7,3,8,7,2012,35,47,18,6.0,80.8,9.8,3.1,9.4
160,fire   ,9.9,3.1,9,7,2012,36,43,15,1.9,82.3,9.4,3.2,9.0
161,not fire   ,9.5,1.3,10,7,2012,34,51,16,3.8,77.5,8.0,2.0,7.7
162,not fire   ,9.5,0.8,11,7,2012,34,56,15,2.9,74.8,7.1,1.6,6.8
163,fire   ,19.4,9.6,12,7,2012,36,44,13,0.0,90.1,12.6,8.3,12.5
164,fire   ,10.4,4.7,13,7,2012,39,45,13,0.6,85.2,11.3,4.2,10.9
165,,14.6 9,fire   ,14,7,2012,37,37,18,0.2,88.9,12.9,12.5,10.4
166,fire   ,24.1,14.1,15,7,2012,34,45,17,0.0,90.5,18.0,10.9,17.7
167,fire   ,33.1,7.3,16,7,2012,31,83,17,0.0,84.5,19.4,4.7,19.2
168,fire   ,42.3,7.7,17,7,2012,32,81,17,0.0,84.6,21.1,4.7,20.9
169,fire   ,51.6,9.1,18,7,2012,33,68,15,0.0,86.1,23.9,5.2,23.9
170,fire   ,61.1,13,19,7,2012,34,58,16,0.0,88.1,27.8,7.3,27.7
171,fire   ,71,17.3,20,7,2012,36,50,16,0.0,89.9,32.7,9.5,32.6
172,fire   ,80.6,30,21,7,2012,36,29,18,0.0,93.9,39.6,18.5,39.5
173,fire   ,90.1,25.4,22,7,2012,32,48,18,0.0,91.5,44.2,13.2,44.0
174,fire   ,99,16.3,23,7,2012,31,71,17,0.0,87.3,46.6,6.9,46.5
175,not fire   ,56.6,2.5,24,7,2012,33,63,17,1.1,72.8,20.9,1.6,21.7
176,not fire   ,15.9,0.7,25,7,2012,39,64,9,1.2,73.8,11.7,1.1,11.4
177,not fire   ,19.7,1,26,7,2012,35,58,10,0.2,78.3,10.8,1.6,10.7
178,not fire   ,28.3,3.2,27,7,2012,29,87,18,0.0,80.0,11.8,2.8,11.8
179,fire   ,37.6,9,28,7,2012,33,57,16,0.0,87.5,15.7,6.7,15.7
180,fire   ,47.2,10.9,29,7,2012,34,59,16,0.0,88.1,19.5,7.4,19.5
181,fire   ,57.1,13.2,30,7,2012,36,56,16,0.0,88.9,23.8,8.2,23.8
182,fire   ,67.2,14.5,31,7,2012,37,55,15,0.0,89.3,28.3,8.3,28.3
183,not fire   ,10.5,0.8,1,8,2012,38,52,14,0.0,78.3,4.4,2.0,4.4
184,fire   ,21.4,13.5,2,8,2012,40,34,14,0.0,93.3,10.8,13.8,10.6
185,fire   ,32.1,19.5,3,8,2012,39,33,17,0.0,93.7,17.1,17.2,16.9
186,fire   ,42.7,20.9,4,8,2012,38,35,15,0.0,93.8,23.0,15.7,22.9
187,fire   ,52.5,12.6,5,8,2012,34,42,17,0.1,88.3,23.6,19.0,23.5
188,not fire   ,9.1,0.8,6,8,2012,30,54,14,3.1,70.5,11.0,1.3,10.5
189,not fire   ,9.8,0.6,7,8,2012,34,63,13,2.9,69.7,7.2,1.2,6.9
190,fire   ,20.2,5.9,8,8,2012,37,56,11,0.0,87.4,11.2,5.2,11.0
191,fire   ,30.9,12.7,9,8,2012,39,43,12,0.0,91.7,16.5,9.6,16.4
192,fire   ,35.4,10.7,10,8,2012,39,39,15,0.2,89.3,15.8,8.2,15.8
193,fire   ,46.3,21.6,11,8,2012,40,31,15,0.0,94.2,22.5,16.6,22.4
194,fire   ,41.5,18.8,12,8,2012,39,21,17,0.4,93.0,18.4,15.5,18.4
195,fire   ,45.1,10.5,13,8,2012,35,34,16,0.2,88.3,16.9,7.5,17.5
196,fire   ,55.5,15.7,14,8,2012,37,40,13,0.0,91.9,22.3,10.8,22.3
197,fire   ,54.2,5.5,15,8,2012,35,46,13,0.3,83.9,16.9,3.5,19.0
198,fire   ,65.1,14.8,16,8,2012,40,41,10,0.1,92.0,22.6,9.5,24.2
199,fire   ,76.4,24,17,8,2012,42,24,9,0.0,96.0,30.3,15.7,30.4
200,fire   ,86.8,26.3,18,8,2012,37,37,14,0.0,94.3,35.9,16.0,35.9
201,fire   ,96.8,7.7,19,8,2012,35,66,15,0.1,82.7,32.7,3.3,35.5
202,fire   ,107,9,20,8,2012,36,81,15,0.0,83.7,34.4,3.8,38.1
203,fire   ,117.1,12.2,21,8,2012,36,71,15,0.0,86.0,36.9,5.1,41.3
204,fire   ,127.5,18.1,22,8,2012,37,53,14,0.0,89.5,41.1,8.0,45.5
205,fire   ,137.7,24.5,23,8,2012,36,43,16,0.0,91.2,46.1,11.5,50.2
206,fire   ,147.7,26.9,24,8,2012,35,38,15,0.0,92.1,51.3,12.2,54.9
207,fire   ,157.5,31.1,25,8,2012,34,40,18,0.0,92.1,56.3,14.3,59.5
208,fire   ,167.2,30.3,26,8,2012,33,37,16,0.0,92.2,61.3,13.1,64.0
209,fire   ,177.3,26.1,27,8,2012,36,54,14,0.0,91.0,65.9,10.0,68.0
210,not fire   ,166,6.1,28,8,2012,35,56,14,0.4,79.2,37.0,2.1,30.6
211,fire   ,149.2,5.9,29,8,2012,35,53,17,0.5,80.2,20.7,2.7,30.6
212,fire   ,159.1,16,30,8,2012,34,49,15,0.0,89.2,24.8,8.1,35.7
213,fire   ,168.2,19.4,31,8,2012,30,59,19,0.0,89.1,27.8,9.8,39.3
214,not fire   ,8.2,0,1,9,2012,29,86,16,0.0,37.9,0.9,0.1,1.4
215,not fire   ,16.3,0.8,2,9,2012,28,67,19,0.0,75.4,2.9,2.0,4.0
216,fire   ,24.3,2.5,3,9,2012,28,75,16,0.0,82.2,4.4,3.3,6.0
217,not fire   ,26.6,0.7,4,9,2012,30,66,15,0.2,73.5,4.1,1.5,6.0
218,not fire   ,8.4,0.4,5,9,2012,30,58,12,4.1,66.1,4.0,1.0,3.9
219,not fire   ,9.1,0.4,6,9,2012,34,71,14,6.5,64.5,3.3,1.0,3.5
220,fire   ,17.7,3.2,7,9,2012,31,62,15,0.0,83.3,5.8,3.8,6.4
221,fire   ,26.1,2.7,8,9,2012,30,88,14,0.0,82.5,6.6,3.0,8.1
222,fire   ,34.5,3.7,9,9,2012,30,80,15,0.0,83.1,7.9,3.5,10.0
223,not fire   ,8.2,0.3,10,9,2012,29,74,15,1.1,59.5,4.7,0.8,4.6
224,not fire   ,16.6,1.2,11,9,2012,30,73,14,0.0,79.2,6.5,2.1,6.6
225,fire   ,25.2,3.9,12,9,2012,31,72,14,0.0,84.2,8.3,3.8,9.1
226,fire   ,33.4,10.3,13,9,2012,29,49,19,0.0,88.6,11.5,9.1,12.4
227,fire   ,41.5,5.7,14,9,2012,28,81,15,0.0,84.6,12.6,4.3,14.3
228,fire   ,50.2,9.8,15,9,2012,32,51,13,0.0,88.7,16.0,6.9,17.8
229,fire   ,59.2,19.3,16,9,2012,33,26,13,0.0,93.9,21.2,14.2,22.4
230,fire   ,63.3,17.5,17,9,2012,34,44,12,0.0,92.5,25.2,11.2,26.2
231,fire   ,77.8,15.4,18,9,2012,36,33,13,0.1,90.6,25.8,9.0,28.2
232,fire   ,86,5.6,19,9,2012,29,41,8,0.1,83.9,24.9,2.7,28.9
233,not fire   ,88,3.8,20,9,2012,34,58,13,0.2,79.5,18.7,2.1,24.4
234,fire   ,97.3,21.6,21,9,2012,35,34,17,0.0,92.2,23.6,13.8,29.4
235,fire   ,106.3,13.7,22,9,2012,33,64,13,0.0,88.9,26.1,7.1,32.4
236,fire   ,115.6,15.2,23,9,2012,35,56,14,0.0,89.0,29.4,7.5,36.0
237,not fire   ,28.1,0.4,24,9,2012,26,49,6,2.0,61.3,11.9,0.6,11.9
238,not fire   ,36.1,3,25,9,2012,28,70,15,0.0,79.9,13.8,2.4,14.1
239,fire   ,44.5,6.5,26,9,2012,30,65,14,0.0,85.4,16.0,4.5,16.9
240,not fire   ,8,0,27,9,2012,28,87,15,4.4,41.1,6.5,0.1,6.2
241,not fire   ,7.9,0.2,28,9,2012,27,87,29,0.5,45.9,3.5,0.4,3.4
242,not fire   ,15.2,0.7,29,9,2012,24,54,18,0.1,79.7,4.3,1.7,5.1
243,not fire    ,16.5,0.5,30,9,2012,24,64,15,0.2,67.3,3.8,1.2,4.8
